Collection,Raw Title,Formatted Title,Author,ISBN,Cover Image URL,Source
1366,CANARIS ,Canaris ,"Abshagen, Karl Heinz ",,https://m.media-amazon.com/images/I/61bJ6z4gSGL._SL1500_.jpg,Open Library
1050,YEARS TO VICTORY OMAHA BEACH TO TOKYO BAY ,"Years to victory,","Adams, Henry H. ",9780679140078,https://pictures.abebooks.com/isbn/9780679140078-us-300.jpg,AbeBooks
1051,1942: THE YEAR THAT DOOMED THE AXIS ,1942: The Year That Doomed the Axis,"Adams, Henry H. ",9780446594448,https://images.isbndb.com/covers/27481143482346.jpg,ISBNdb
1052,YEARS OF EXPECTATION GUADALCANAL TO NORMANDY ,Years Of Expectation Guadalcanal To Normandy ,"Adams, Henry H. ",,http://books.google.com/books/content?id=xr8xAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Google Books
1054,YEARS OF DEADLY PERIL THE COMING OF THE WAR 1939­1941 ,Years Of Deadly Peril The Coming Of The War 1939­1941 ,"Adams, Henry H. ",,"https://m.media-amazon.com/images/I/81frSi0mpKL._AC_UF1000,1000_QL80_.jpg",Manual
1229,WITNESS TO POWER THE LIFE OF FLEET ADMIRAL WILLIAM D. LEAHY ,Witness to Power: The Life of Fleet Admiral William D. Leahy,"Adams, Henry H. ",9780870213380,http://books.google.com/books/content?id=gmpUEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AbeBooks
127,"HALSEY'S TYPHOONS A FIRST HAND ACCOUNT OF HOW TWO TYPHOONS, MORE POWERFUL THAN THE JAPANESE, DEALT DEATH AND DESTRUCTION TO ADMIRAL HALSEY'S THIRD FLEET. ","Halsey's Typhoons A First Hand Account Of How Two Typhoons, More Powerful Than The Japanese, Dealt Death And Destruction To Admiral Halsey's Third Fleet. ","Adamson, Hans Christian; Kosco, George Francis ",,"https://m.media-amazon.com/images/I/51AZghYMilL._AC_UF1000,1000_QL80_.jpg",Google Images
507,THE CHAMPAGNE CAMPAIGN ,The Champagne Campaign,"Adleman, Robert H.; Walton, George ",9780856320583,https://pictures.abebooks.com/inventory/md/md31029545052.jpg,AbeBooks
678,"INTELLIGENCE AND THE WAR AGAINST JAPAN : BRITAIN, AMERICA AND THE POLITICS OF SECRET SERVICE ","Intelligence and the War against Japan: Britain, America and the Politics of Secret Service","Aldrich, Richard J. ",9780521641869,https://images.isbndb.com/covers/19639023482373.jpg,ISBNdb
223,EDSON'S RAIDERS: THE 1ST MARINE RAIDER BATTALION IN WORLD WAR II ,Edson's Raiders,"Alexander, Joseph H. ",1591140021,http://books.google.com/books/content?id=BpvkRwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Google Books
288,SITTANG: THE LAST BATTLE ,Sittang: The Last Battle,"Allen, Louis ",9780345238344,https://images.isbndb.com/covers/25008543482310.jpg,ISBNdb
470,ANZIO: EDGE OF DISASTER ,Anzio: Edge of Disaster (Men and Battle),"Allen, William Lusk ",9780525930037,https://images.isbndb.com/covers/6349123482375.jpg,ISBNdb
1383,THE DECISION TO USE THE ATOMIC BOMB AND THE ARCHITECHTURE OF AN AMERICAN MYTH ,Decision to Use the Atomic Bomb: And the Architecture of an American Myth,"Alperovitz, Gar ",9780679443315,https://images.isbndb.com/covers/24849243482429.jpg,ISBNdb
396,"THE FORGOTTEN BATTLE: OVERLOON AND THE MAAS SALIENT, 1944-1945 ","The Forgotten Battle: Overloon And The Maas Salient, 1944-1945","Altes, A. Korthals ",9781885119032,https://images.isbndb.com/covers/4716713482859.jpg,ISBNdb
576,THE SPEARHEADERS : A PERSONAL HISTORY OF DARBY'S RANGERS ,The Spearheaders,"Altieri, James ",9780870210891,http://books.google.com/books/content?id=vATnBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Google Books
10,THE WAR OF A HUNDRED DAYS ,The War Of A Hundred Days ,"Ambrose Brown, James ",,http://books.google.com/books/content?id=oxgsAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Google Books
527,"D-DAY, JUNE 6, 1944 : THE CLIMACTIC BATTLE OF WORLD WAR II ",D-Day,"Ambrose, Stephen E. ",068480137X,http://books.google.com/books/content?id=5GsbOn4LhHAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Google Books
580,"CITIZEN SOLDIERS : THE U.S. ARMY FROM THE NORMANDY BEACHES TO THE BULGE TO THE SURRENDER OF GERMANY, JUNE 7, 1944-MAY 7, 1945 ",Citizen Soliders,"Ambrose, Stephen E. ",1471158330,http://books.google.com/books/content?id=eTarDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Google Books
581,THE VICTORS : EISENHOWER AND HIS BOYS : THE MEN OF WORLD WAR II ,The Victors,"Ambrose, Stephen E. ",9780684864549,http://books.google.com/books/content?id=ag7omy2OvBgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Google Books
758,THE WILD BLUE : THE MEN AND BOYS WHO FLEW THE B­24S OVER GERMANY ,The Wild Blue,"Ambrose, Stephen E. ",9780743217521,http://books.google.com/books/content?id=nJw-o7Rm988C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Google Books
1160,AMERICAN HERITAGE NEW HISTORY OF WORLD WAR II ,Crazy Horse and Custer,"Ambrose, Stephen E. ",9781497659254,http://books.google.com/books/content?id=Gpe4AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Google Books
486,THE AIR MARSHALS: THE AIR WAR IN WESTERN EUROPE ,Air Marshals the Air War in Western Europe,"Andrews, Allen ",9780688010362,https://images.isbndb.com/covers/26262343482432.jpg,ISBNdb
297,HITLER AND THE MIDDLE SEA ,Hitler and the Middle Sea,"Ansel, Walter ",9780822302247,https://images.isbndb.com/covers/21063273482480.jpg,ISBNdb
1155,CHRONOLOGY OF WORLD WAR II THE DAY-BY-DAY ILLUSTRATED RECORD 1939-1945 ,"Chronology of World War II: The Day By Day, Illustrated Record 1939-45","Argyle, Christopher ",9780896730717,https://images.isbndb.com/covers/7031643482507.jpg,ISBNdb
787,THE OFFICIAL PICTORIAL HISTORY OF THE ARMY AIR FORCES ,The Official Pictorial History of the Army Air Forces / by the Historical Office of the Army Air Forces,Army Air Forces Historical Office ,9780405123849,https://covers.openlibrary.org/b/id/8428828-L.jpg,AbeBooks
193,PEARL HARBOR AND HAWAII ,Pearl Harbor and Hawaii: A Military History,Army Times ,9780517146576,https://images.isbndb.com/covers/2771883482372.jpg,ISBNdb
1110,THE WORLD AT WAR ,The World At War,"Arnold-Forester, Mark ",9780812816235,https://pictures.abebooks.com/inventory/md/md31373636970.jpg,AbeBooks
992,GLOBAL MISSION ,Global Mission,"Arnold, H.H. ",9780830640041,http://books.google.com/books/content?id=_fzJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Google Books
